"","year.FRP","FRP","infection_status","Uniq_ID","sample_day","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"61","2017-6121",6121,1,"6121_15_9",9,"I","8A",3099,3579,NA,7,"drain end",57,"","","","114.6","3","14.2",NA,NA,NA,NA
"62","2017-6121",6121,1,"6121_352_12",12,"I","7A",3099,3579,NA,7,"",257,"","","","114.6","3","14.2",NA,NA,NA,NA
"63","2017-6121",6121,1,"6121_472_26",26,"I","7A",3099,3579,NA,7,"",370,"","","","114.6","3","14.2","4/20/18 14:30","1.8",35,"63"
"64","2017-6122",6122,1,"6122_133_9",9,"I","3C",3100,3528,NA,8,"drain end",39,"","","","100","3","14.5",NA,NA,NA,NA
"65","2017-6122",6122,1,"6122_325_12",12,"I","8A",3100,3528,NA,8,"",228,"","","","100","3","14.5",NA,NA,NA,NA
"66","2017-6122",6122,1,"6122_489_26",26,"I","8A",3100,3528,NA,8,"",388,"","","","100","3","14.5",NA,NA,NA,NA
"67","2017-6123",6123,0,"6123_82_9",9,"I","7A",3101,3463,NA,7,"drain end",453,"blood very clear","","","112.4","3","17.5","4/24/18 14:50","6.16",35,"215.6"
"68","2017-6123",6123,0,"6123_345_12",12,"I","7A",3101,3463,NA,7,"",249,"","","","112.4","3","17.5",NA,NA,NA,NA
"69","2017-6123",6123,0,"6123_473_26",26,"I","7A",3101,3463,NA,7,"",371,"","","","112.4","3","17.5",NA,NA,NA,NA
"70","2017-6124",6124,0,"6124_75_9",9,"M","7A",3103,3158,NA,7,"drain end",445,"","","","120.5","3","23","8/9/18 13:03","Out of range",10,"#VALUE!"
"71","2017-6124",6124,0,"6124_347_12",12,"M","7A",3103,3158,NA,7,"",251,"","","","120.5","3","23","4/23/18 17:40","4.8",35,"168"
"72","2017-6124",6124,0,"6124_464_26",26,"M","7A",3103,3158,NA,7,"",361,"","","","120.5","3","23","5/23/18 14:55","6.52",35,"228.2"
"73","2017-6125",6125,1,"6125_144_9",9,"I","2C",3105,3146,NA,9,"drain end",51,"","","","119.4","3","18.4",NA,NA,NA,NA
"74","2017-6125",6125,1,"6125_303_12",12,"I","9A",3105,3146,NA,9,"",205,"","","","119.4","3","18.4","4/10/18 17:23","1.64",35,"57.4"
"75","2017-6125",6125,1,"6125_503_26",26,"I","9A",3105,3146,NA,9,"",405,"","","","119.4","3","18.4",NA,NA,NA,NA
"76","2017-6126",6126,1,"6126_79_9",9,"I","7A",3108,3501,NA,1,"drain end",449,"","","","109","3","14.6","8/9/18 13:03","15.9",10,"159"
"77","2017-6126",6126,1,"6126_201_12",12,"I","1C",3108,3501,NA,1,"",95,"","","","109","3","14.6",NA,NA,NA,NA
"78","2017-6126",6126,1,"6126_418_26",26,"I","1C",3108,3501,NA,1,"",310,"","","","109","3","14.6",NA,NA,NA,NA
"79","2017-6127",6127,0,"6127_37_9",9,"I","9A",3110,3255,NA,8,"drain end",276,"","","","108.4","3","19.3","5/24/18 13:51","4.2",35,"147"
"80","2017-6127",6127,0,"6127_335_12",12,"I","8A",3110,3255,NA,8,"",239,"","","","108.4","3","19.3",NA,NA,NA,NA
"81","2017-6127",6127,0,"6127_497_26",26,"I","8A",3110,3255,NA,8,"",397,"","","","108.4","3","19.3",NA,NA,NA,NA
"82","2017-6128",6128,1,"6128_112_9",9,"I","3C",3113,3179,NA,2,"drain end",16,"","","","121","3","18.6","5/24/18 17:46","10.2",35,"357"
"83","2017-6128",6128,1,"6128_231_12",12,"I","2C",3113,3179,NA,2,"",126,"","","","121","3","18.6",NA,NA,NA,NA
"84","2017-6128",6128,1,"6128_441_26",26,"I","2C",3113,3179,NA,2,"",336,"","","","121","3","18.6","4/28/18 15:42","2.62",35,"91.7"
