Uniq_ID,FRP,tube_number,trtmnt_tank,sample_day,infection_status,maturity,RNA_ng.ul,total.yield_ng,elution_vol_ul,org_sample_ul,target,sq_all.runs_mean
6165_55_9,6165,55,NA,9,0,I,1.16,52.2,50,all,Hemato,50.43666667
6165_55_9,6165,55,NA,9,0,I,1.16,52.2,50,all,,50.43666667
6166_21_9,6166,21,NA,9,0,I,1.72,77.4,50,all,Hemato,126.053
6166_21_9,6166,21,NA,9,0,I,1.72,77.4,50,all,Hemato,126.053
6166_349_12,6166,349,ambient,12,0,I,5.56,250.2,50,all,Hemato,126.053
6166_349_12,6166,349,ambient,12,0,I,5.56,250.2,50,all,Hemato,126.053
6166_496_26,6166,496,ambient,26,0,I,5.88,264.6,50,all,Hemato,126.053
6166_496_26,6166,496,ambient,26,0,I,5.88,264.6,50,all,Hemato,126.053
6167_207_12,6167,207,cold,12,0,I,1.88,84.6,50,all,Hemato,466.25
6167_414_26,6167,414,cold,26,0,I,7.52,338.4,50,all,Hemato,466.25
6167_414_26,6167,414,cold,26,0,I,28.6,314.6,12,all,Hemato,466.25
6167_45_9,6167,45,NA,9,0,I,5.4,243,50,all,Hemato,466.25
6168_357_12,6168,357,ambient,12,1,I,17.3,224.9,15,35,Hemato,108.75
6168_466_26,6168,466,ambient,26,1,I,18.4,276,15,NA,Hemato,108.75
6169_486_26,6169,486,ambient,26,1,I,5.87,88.05,15,NA,Hemato,334.125
6170_516_26,6170,516,ambient,26,1,I,14,182,14,50,Hemato,656.5
6170_516_26,6170,516,ambient,26,1,I,7,91,14,50,Hemato,656.5
6170_516_26,6170,516,ambient,26,1,I,4.6,59.8,14,10,Hemato,656.5
6171_221_12,6171,221,cold,12,0,I,3.22,144.9,50,all,Hemato,380502.92
6171_427_26,6171,427,cold,26,0,I,3.71,166.95,50,all,Hemato,380502.92
6171_73_9,6171,73,NA,9,0,I,5.28,237.6,50,all,Hemato,380502.92
6172_316_12,6172,316,cold,12,0,M,28.7,373.1,15,35,Hemato,163.475
6173_210_12,6173,210,cold,12,1,I,33.3,432.9,15,35,Hemato,837.75
6173_420_26,6173,420,cold,26,1,I,29.8,387.4,14,all,Hemato,837.75
