"","FRP","Uniq_ID","trtmnt_tank","sample_day","infection_status","maturity","tube_number","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"710",6282,"6282_tes_NA",NA,NA,3,"M","test-3 ",NA,NA,NA,NA
"711",6129,"6129_403_26","warm",26,1,"I","403-4",NA,NA,NA,NA
"712",6180,"6180_402_26","warm",26,0,"I","402-4",NA,NA,NA,NA
"713",6210,"6210_401_26","warm",26,1,"I","401-4",NA,NA,NA,NA
"714",6129,"6129_403_26","warm",26,1,"I","403-5",NA,NA,NA,NA
"715",6180,"6180_402_26","warm",26,0,"I","402-5",NA,NA,NA,NA
"716",6210,"6210_401_26","warm",26,1,"I","401-5",NA,NA,NA,NA
"717",6129,"6129_403_26","warm",26,1,"I","403-6",NA,NA,NA,NA
"718",6180,"6180_402_26","warm",26,0,"I","402-6",NA,NA,NA,NA
"719",6210,"6210_401_26","warm",26,1,"I","401-6",NA,NA,NA,NA
