Sample_Date,Sample_day,Uniq_ID,FRP,infection_status,maturity,holding_tank,treatment_tank,tube_number,temperature_treatment,RNA_isolation,comments
11/10/17,12,6183_322_12,2017-6183,1,I,8A,8,322,ambient,,
11/27/17,26,6183_494_26,2017-6183,1,I,8A,8,494,ambient,,
11/8/17,9,6184_148_9,2017-6184,1,I,2C,9,148,ambient,,
11/10/17,12,6184_318_12,2017-6184,1,I,9A,9,318,ambient,,
11/27/17,26,6184_513_26,2017-6184,1,I,9A,9,513,ambient,,
11/8/17,9,6192_178_9,2017-6192,1,I,1C,7,178,ambient,,
11/10/17,12,6192_359_12,2017-6192,1,I,7A,7,359,ambient,,
11/27/17,26,6192_463_26,2017-6192,1,I,7A,7,463,ambient,,
11/8/17,9,6193_174_9,2017-6193,1,I,1C,8,174,ambient,,
11/10/17,12,6193_333_12,2017-6193,1,I,8A,8,333,ambient,,
11/27/17,26,6193_482_26,2017-6193,1,I,8A,8,482,ambient,,
11/8/17,9,6195_150_9,2017-6195,1,I,1C,9,150,ambient,,
11/10/17,12,6195_304_12,2017-6195,1,I,9A,9,304,ambient,,#3
11/27/17,26,6195_501_26,2017-6195,1,I,9A,9,501,ambient,,
11/8/17,9,6201_163_9,2017-6201,1,I,1C,7,163,ambient,,
11/10/17,12,6201_341_12,2017-6201,1,I,7A,7,341,ambient,,
11/27/17,26,6201_478_26,2017-6201,1,I,7A,7,478,ambient,,
11/8/17,9,6202_109_9,2017-6202,1,I,3C,8,109,ambient,,
11/10/17,12,6202_337_12,2017-6202,1,I,8A,8,337,ambient,,
11/27/17,26,6202_495_26,2017-6202,1,I,8A,8,495,ambient,,
11/8/17,9,6206_103_9,2017-6206,1,I,3C,9,103,ambient,,
11/10/17,12,6206_319_12,2017-6206,1,I,9A,9,319,ambient,,
11/27/17,26,6206_509_26,2017-6206,1,I,9A,9,509,ambient,,
11/8/17,9,6211_118_9,2017-6211,1,I,3C,7,118,ambient,,
11/10/17,12,6211_349_12,2017-6211,1,I,7A,7,349,ambient,,BCS+
11/27/17,26,6211_481_26,2017-6211,1,I,7A,7,481,ambient,,
11/8/17,9,6212_132_9,2017-6212,1,I,3C,8,132,ambient,,
11/10/17,12,6212_334_12,2017-6212,1,I,8A,8,334,ambient,,
11/27/17,26,6212_485_26,2017-6212,1,I,8A,8,485,ambient,,
11/8/17,9,6214_107_9,2017-6214,1,I,3C,9,107,ambient,,
11/10/17,12,6214_311_12,2017-6214,1,I,9A,9,311,ambient,,
11/27/17,26,6214_504_26,2017-6214,1,I,9A,9,504,ambient,,
11/8/17,9,6109_31_9,2017-6109,0,I,8A,7,31,ambient,,
11/10/17,12,6109_351_12,2017-6109,0,I,7A,7,351,ambient,,
11/27/17,26,6109_480_26,2017-6109,0,I,7A,7,480,ambient,,
11/8/17,9,6110_135_9,2017-6110,0,I,2C,8,135,ambient,,
11/10/17,12,6110_331_12,2017-6110,0,I,8A,8,331,ambient,,
11/27/17,26,6110_488_26,2017-6110,0,I,8A,8,488,ambient,,
11/8/17,9,6112_28_9,2017-6112,0,I,8A,9,28,ambient,,
11/10/17,12,6112_317_12,2017-6112,0,I,9A,9,317,ambient,,
11/27/17,26,6112_499_26,2017-6112,0,I,9A,9,499,ambient,,
11/8/17,9,6123_82_9,2017-6123,0,I,7A,7,82,ambient,,blood very clear
11/10/17,12,6123_345_12,2017-6123,0,I,7A,7,345,ambient,,
11/27/17,26,6123_473_26,2017-6123,0,I,7A,7,473,ambient,,
11/8/17,9,6127_37_9,2017-6127,0,I,9A,8,37,ambient,,
11/10/17,12,6127_335_12,2017-6127,0,I,8A,8,335,ambient,,
11/27/17,26,6127_497_26,2017-6127,0,I,8A,8,497,ambient,,
11/8/17,9,6130_47_9,2017-6130,0,I,9A,8,47,ambient,,
11/10/17,12,6130_339_12,2017-6130,0,I,8A,8,339,ambient,,
11/27/17,26,6130_498_26,2017-6130,0,I,8A,8,498,ambient,,
11/8/17,9,6131_38_9,2017-6131,0,I,9A,9,38,ambient,,
11/10/17,12,6131_314_12,2017-6131,0,I,9A,9,314,ambient,,
11/27/17,26,6131_507_26,2017-6131,0,I,9A,9,507,ambient,,
11/8/17,9,6142_65_9,2017-6142,0,I,7A,7,65,ambient,,
11/10/17,12,6142_346_12,2017-6142,0,I,7A,7,346,ambient,,
11/27/17,26,6142_474_26,2017-6142,0,I,7A,7,474,ambient,,
11/8/17,9,6146_12_9,2017-6146,0,I,8A,9,12,ambient,,
11/10/17,12,6146_309_12,2017-6146,0,I,9A,9,309,ambient,,
11/27/17,26,6146_502_26,2017-6146,0,I,9A,9,502,ambient,,
11/8/17,9,6165_55_9,2017-6165,0,I,7A,7,55,ambient,,
11/10/17,12,6165_360_12,2017-6165,0,I,7A,7,360,ambient,,
11/27/17,26,6165_469_26,2017-6165,0,I,7A,7,469,ambient,,
11/8/17,9,6166_21_9,2017-6166,0,I,8A,8,21,ambient,,
11/10/17,12,6166_349_12,2017-6166,0,I,8A,8,349,ambient,,
