"","year.FRP","FRP","Uniq_ID","sample_day","infection_status","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Imm.mat","Run_ID","Assay_Name","Test_Name","Test_Date","Qubit_tube_conc","Units","Original_sample_conc","Units.1","Sample_Volume","Dilution_Factor","Std_1_RFU","Std_2_RFU","Excitation","Emission","Far_Red_RFU","X"
"111","2017-6137",6137,"6137_500_26",26,1,"I","9A",3172,3374,NA,9,"",500,"","","","96.9","3","13","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","2017-6138",6138,"6138_80_9",9,0,"I","7A",3173,3495,NA,3,"drain end",80,"","","","118.8","3","18","I","2018-04-24_143209","RNA High sensitivity","Sample_#180424-143230","4/24/18 14:32","66.6","ng/mL","2.66","ng/uL",5,40,85.61,1618.95,"Red","Far Red",308.99,""
"113","2017-6138",6138,"6138_247_12",12,0,"I","3C",3173,3495,NA,3,"",247,"","","","118.8","3","18","I","2018-04-24_143209","RNA High sensitivity","Sample_#180424-143242","4/24/18 14:32","161","ng/mL","6.44","ng/uL",5,40,85.61,1618.95,"Red","Far Red",637.31,""
"114","2017-6138",6138,"6138_453_26",26,0,"I","3C",3173,3495,NA,3,"",453,"","","","118.8","3","18","I","2018-04-24_145028","RNA High sensitivity","Sample_#180424-145051","4/24/18 14:50","154","ng/mL","6.16","ng/uL",5,40,87.4,1553.23,"Red","Far Red",593.25,""
"115","2017-6139",6139,"6139_104_9",9,3,"M","3C",3181,3252,NA,8,"drain end",104,"","","","128","3","28.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2017-6139",6139,"6139_332_12",12,3,"M","8A",3181,3252,NA,8,"",332,"","","","128","3","28.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2017-6139",6139,"6139_493_26",26,3,"M","8A",3181,3252,NA,8,"",493,"","","","128","3","28.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2017-6140",6140,"6140_8_9",9,1,"I","8A",3183,3187,NA,2,"drain end",8,"","","","110","3","15","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2017-6140",6140,"6140_237_12",12,1,"I","2C",3183,3187,NA,2,"",237,"","","","110","3","15","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2017-6140",6140,"6140_429_26",26,1,"I","2C",3183,3187,NA,2,"",429,"","","","110","3","15","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2017-6141",6141,"6141_123_9",9,1,"I","3C",3200,3402,NA,3,"drain end",123,"","","","122.9","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2017-6141",6141,"6141_249_12",12,1,"I","3C",3200,3402,NA,3,"",249,"","","","122.9","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2017-6141",6141,"6141_451_26",26,1,"I","3C",3200,3402,NA,3,"",451,"","","","122.9","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2017-6142",6142,"6142_65_9",9,0,"I","7A",3203,3230,NA,7,"drain end",65,"","","","96.5","3","14.3","I","2018-03-27_150807","RNA High sensitivity","Sample_#180327-150836","3/27/18 15:08","0","ng/mL","0","ng/uL",5,40,77.85,1247.39,"Red","Far Red",90.59,""
"125","2017-6142",6142,"6142_346_12",12,0,"I","7A",3203,3230,NA,7,"",346,"","","","96.5","3","14.3","I","2018-04-09_131825","RNA High sensitivity","Sample_#180409-131947","4/9/18 13:19","44.9","ng/mL","1.8","ng/uL",5,40,95.67,1810.56,"Red","Far Red",260.07,""
"126","2017-6142",6142,"6142_474_26",26,0,"I","7A",3203,3230,NA,7,"",474,"","","","96.5","3","14.3","I","2018-04-09_131825","RNA High sensitivity","Sample_#180409-132019","4/9/18 13:20","0","ng/mL","0","ng/uL",5,40,95.67,1810.56,"Red","Far Red",139.81,""
"127","2017-6143",6143,"6143_10_9",9,0,"M","8A",3216,3451,NA,7,"drain end",10,"","","","118.8","4","22.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2017-6143",6143,"6143_343_12",12,0,"M","7A",3216,3451,NA,7,"",343,"","","","118.8","4","22.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2017-6143",6143,"6143_479_26",26,0,"M","7A",3216,3451,NA,7,"",479,"","","","118.8","4","22.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","2017-6144",6144,"6144_14_9",9,1,"I","8A",3225,3507,NA,7,"drain end",14,"","","","128","3","17","I","2018-04-06_133810","RNA High sensitivity","Sample_#180406-133846","4/6/18 13:38","123","ng/mL","4.92","ng/uL",5,40,76.57,1141.15,"Red","Far Red",370.19,""
"131","2017-6144",6144,"6144_348_12",12,1,"I","7A",3225,3507,NA,7,"",348,"","","","128","3","17","I","2018-04-06_133810","RNA High sensitivity","Sample_#180406-133905","4/6/18 13:39","144","ng/mL","5.76","ng/uL",5,40,76.57,1141.15,"Red","Far Red",420.6,""
"132","2017-6144",6144,"6144_477_26",26,1,"I","7A",3225,3507,NA,7,"",477,"","","","128","3","17","I","2018-04-06_133810","RNA High sensitivity","Sample_#180406-133933","4/6/18 13:39","46.1","ng/mL","1.84","ng/uL",5,40,76.57,1141.15,"Red","Far Red",181.53,""
"133","2017-6145",6145,"6145_59_9",9,1,"I","7A",3232,3323,NA,9,"drain end",59,"","","","112.3","3","15.3","I","2018-04-06_140231","RNA High sensitivity","Sample_#180406-140308","4/6/18 14:03","58.4","ng/mL","2.34","ng/uL",5,40,78.71,1199.13,"Red","Far Red",220.69,""
"134","2017-6145",6145,"6145_305_12",12,1,"I","9A",3232,3323,NA,9,"",305,"#4","replacement tube","","112.3","3","15.3","I","2018-04-06_140231","RNA High sensitivity","Sample_#180406-140332","4/6/18 14:03","61.1","ng/mL","2.44","ng/uL",5,40,78.71,1199.13,"Red","Far Red",227.79,"#4"
"135","2017-6145",6145,"6145_505_26",26,1,"I","9A",3232,3323,NA,9,"",505,"","","","112.3","3","15.3","I","2018-04-06_140231","RNA High sensitivity","Sample_#180406-140402","4/6/18 14:04","0","ng/mL","0","ng/uL",5,40,78.71,1199.13,"Red","Far Red",73.92,""
"136","2017-6146",6146,"6146_12_9",9,0,"I","8A",3237,3399,NA,9,"drain end",12,"","","","106.1","4","19","I","2018-04-09_133705","RNA High sensitivity","Sample_#180409-133728","4/9/18 13:37","0","ng/mL","0","ng/uL",5,40,89.33,1962.33,"Red","Far Red",95.38,""
"137","2017-6146",6146,"6146_309_12",12,0,"I","9A",3237,3399,NA,9,"",309,"","","","106.1","4","19","I","2018-04-09_133705","RNA High sensitivity","Sample_#180409-133749","4/9/18 13:37","99.9","ng/mL","4","ng/uL",5,40,89.33,1962.33,"Red","Far Red",506,""
"138","2017-6146",6146,"6146_502_26",26,0,"I","9A",3237,3399,NA,9,"",502,"","","","106.1","4","19","I","2018-04-09_133705","RNA High sensitivity","Sample_#180409-133815","4/9/18 13:38","54.4","ng/mL","2.18","ng/uL",5,40,89.33,1962.33,"Red","Far Red",309.64,""
"139","2017-6147",6147,"6147_30_9",9,0,"I","8A",3241,3309,NA,1,"drain end",30,"","","","119.5","4","18.3","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175802","4/29/18 17:58","0","ng/mL","0","ng/uL",5,40,89.64,1451.8,"Red","Far Red",100.68,""
"140","2017-6147",6147,"6147_204_12",12,0,"I","1C",3241,3309,NA,1,"",204,"","","","119.5","4","18.3","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175836","4/29/18 17:58","89.9","ng/mL","3.6","ng/uL",5,40,89.64,1451.8,"Red","Far Red",361.33,""
"141","2017-6147",6147,"6147_421_26",26,0,"I","1C",3241,3309,NA,1,"",421,"","","","119.5","4","18.3","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175907","4/29/18 17:59","91.1","ng/mL","3.64","ng/uL",5,40,89.64,1451.8,"Red","Far Red",364.96,""
"142","2017-6148",6148,"6148_56_9",9,1,"I","7A",3251,3422,NA,1,"drain end",56,"","","","116.1","3","17","I","2018-02-28_175834","RNA High sensitivity","Sample_#180228-175924","2/28/18 17:59","44.8","ng/mL","0.896","ng/uL",10,20,88.65,1310.33,"Red","Far Red",205.48,""
"143","2017-6148",6148,"6148_213_12",12,1,"I","1C",3251,3422,NA,1,"",213,"","","","116.1","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","2017-6148",6148,"6148_405_26",26,1,"I","1C",3251,3422,NA,1,"",405,"","","","116.1","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2017-6149",6149,"6149_64_9",9,1,"I","7A",3253,3578,NA,2,"drain end",64,"","","","115.4","3","16.3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","2017-6149",6149,"6149_226_12",12,1,"I","2C",3253,3578,NA,2,"",226,"","","","115.4","3","16.3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","2017-6149",6149,"6149_437_26",26,1,"I","2C",3253,3578,NA,2,"",437,"","","","115.4","3","16.3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","2017-6150",6150,"6150_119_9",9,0,"M","3C",3257,3261,NA,9,"drain end",119,"","","","130","3","27.8","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","2017-6150",6150,"6150_312_12",12,0,"M","9A",3257,3261,NA,9,"",312,"","","","130","3","27.8","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","2017-6150",6150,"6150_511_26",26,0,"M","9A",3257,3261,NA,9,"",511,"","","","130","3","27.8","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","2017-6151",6151,"6151_19_9",9,1,"I","8A",3265,3574,NA,3,"drain end",19,"","","","115.7","3","15.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","2017-6151",6151,"6151_243_12",12,1,"I","3C",3265,3574,NA,3,"",243,"","","","115.7","3","15.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","2017-6151",6151,"6151_454_26",26,1,"I","3C",3265,3574,NA,3,"",454,"","","","115.7","3","15.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","2017-6152",6152,"6152_32_9",9,0,"M","9A",3270,3275,NA,7,"drain end",32,"","","","113","3","22.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","2017-6152",6152,"6152_344_12",12,0,"M","7A",3270,3275,NA,7,"",344,"","","","113","3","22.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2017-6152",6152,"6152_467_26",26,0,"M","7A",3270,3275,NA,7,"",467,"","","","113","3","22.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","2017-6153",6153,"6153_11_9",9,0,"M","8A",3281,3308,NA,1,"drain end",11,"","","","113.5","4","22.1","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","2017-6153",6153,"6153_209_12",12,0,"M","1C",3281,3308,NA,1,"",209,"","","","113.5","4","22.1","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","2017-6153",6153,"6153_404_26",26,0,"M","1C",3281,3308,NA,1,"",404,"","","","113.5","4","22.1","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","2017-6154",6154,"6154_68_9",9,0,"I","7A",3284,3570,NA,2,"drain end",68,"","","","124.3","3","19.3","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175815","4/29/18 17:58","52.5","ng/mL","2.1","ng/uL",5,40,89.64,1451.8,"Red","Far Red",243.76,""
"161","2017-6154",6154,"6154_232_12",12,0,"I","2C",3284,3570,NA,2,"",232,"","","","124.3","3","19.3","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175848","4/29/18 17:58","59.4","ng/mL","2.38","ng/uL",5,40,89.64,1451.8,"Red","Far Red",265.67,""
"162","2017-6154",6154,"6154_436_26",26,0,"I","2C",3284,3570,NA,2,"",436,"","","","124.3","3","19.3","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175919","4/29/18 17:59","126","ng/mL","5.04","ng/uL",5,40,89.64,1451.8,"Red","Far Red",472.83,""
"163","2017-6155",6155,"6155_66_9",9,1,"I","7A",3286,3371,NA,7,"drain end",66,"","","","93.1","3","13.6","I","2018-04-06_140231","RNA High sensitivity","Sample_#180406-140317","4/6/18 14:03","0","ng/mL","0","ng/uL",5,40,78.71,1199.13,"Red","Far Red",102.38,""
"164","2017-6155",6155,"6155_358_12",12,1,"I","7A",3286,3371,NA,7,"",358,"","","","93.1","3","13.6","I","2018-04-06_140231","RNA High sensitivity","Sample_#180406-140342","4/6/18 14:03","92.8","ng/mL","3.71","ng/uL",5,40,78.71,1199.13,"Red","Far Red",309.77,""
"165","2017-6155",6155,"6155_476_26",26,1,"I","7A",3286,3371,NA,7,"",476,"","","","93.1","3","13.6","I","2018-04-06_140231","RNA High sensitivity","Sample_#180406-140351","4/6/18 14:03","0","ng/mL","0","ng/uL",5,40,78.71,1199.13,"Red","Far Red",92.72,""
"166","2017-6156",6156,"6156_24_9",9,0,"I","8A",3293,3370,NA,3,"drain end",24,"","","","120","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","2017-6156",6156,"6156_242_12",12,0,"I","3C",3293,3370,NA,3,"",242,"","","","120","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","2017-6156",6156,"6156_446_26",26,0,"I","3C",3293,3370,NA,3,"",446,"","","","120","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","2017-6157",6157,"6157_169_9",9,0,"M","1C",3306,3354,NA,2,"drain end",169,"","","","122.6","4","25.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","2017-6157",6157,"6157_224_12",12,0,"M","2C",3306,3354,NA,2,"",224,"","","","122.6","4","25.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","2017-6157",6157,"6157_423_26",26,0,"M","2C",3306,3354,NA,2,"",423,"","","","122.6","4","25.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","2017-6158",6158,"6158_101_9",9,1,"I","3C",3310,3488,NA,8,"drain end",101,"There are 2 tubes recorded as 101 (3C, 8A), but there are no tube #s missing.","","","124.5","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","2017-6158",6158,"6158_324_12",12,1,"I","8A",3310,3488,NA,8,"",324,"","","","124.5","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","2017-6158",6158,"6158_483_26",26,1,"I","8A",3310,3488,NA,8,"",483,"","","","124.5","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","2017-6159",6159,"6159_26_9",9,1,"I","8A",3311,3551,NA,9,"drain end",26,"","","","117","3","16.4","I","2018-04-06_140231","RNA High sensitivity","Sample_#180406-140256","4/6/18 14:02","34.6","ng/mL","1.38","ng/uL",5,40,78.71,1199.13,"Red","Far Red",159.9,""
"176","2017-6159",6159,"6159_313_12",12,1,"I","9A",3311,3551,NA,9,"",313,"","","","117","3","16.4","I","2018-03-26_133510","RNA High sensitivity","Sample_#180326-133542","3/26/18 13:35","50","ng/mL","2","ng/uL",5,40,88.44,1478.42,"Red","Far Red",238.02,""
"177","2017-6159",6159,"6159_508_26",26,1,"I","9A",3311,3551,NA,9,"",508,"","","","117","3","16.4","I","2018-03-26_133510","RNA High sensitivity","Sample_#180326-133550","3/26/18 13:35","0","ng/mL","0","ng/uL",5,40,88.44,1478.42,"Red","Far Red",103.55,""
"178","2017-6160",6160,"6160_7_9",9,0,"M","8A",3317,3545,NA,2,"drain end",7,"","","","108.5","4","22","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","2017-6160",6160,"6160_238_12",12,0,"M","2C",3317,3545,NA,2,"",238,"","","","108.5","4","22","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","2017-6160",6160,"6160_426_26",26,0,"M","2C",3317,3545,NA,2,"",426,"","","","108.5","4","22","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","2017-6161",6161,"6161_53_9",9,0,"M","7A",3326,3536,NA,9,"drain end",53,"","","","114.1","4","22.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","2017-6161",6161,"6161_302_12",12,0,"M","9A",3326,3536,NA,9,"",302,"","","","114.1","4","22.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","2017-6161",6161,"6161_512_26",26,0,"M","9A",3326,3536,NA,9,"",512,"","","","114.1","4","22.3","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2017-6162",6162,"6162_61_9",9,1,"I","7A",3328,3510,NA,1,"drain end",61,"","","","119","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","2017-6162",6162,"6162_220_12",12,1,"I","1C",3328,3510,NA,1,"",220,"","","","119","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","2017-6162",6162,"6162_407_26",26,1,"I","1C",3328,3510,NA,1,"",407,"","","","119","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","2017-6163",6163,"6163_130_9",9,1,"I","3C",3330,3409,NA,2,"drain end",130,"","","","118.5","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","2017-6163",6163,"6163_228_12",12,1,"I","2C",3330,3409,NA,2,"",228,"","","","118.5","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","2017-6163",6163,"6163_424_26",26,1,"I","2C",3330,3409,NA,2,"",424,"","","","118.5","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","2017-6164",6164,"6164_71_9",9,1,"I","7A",3351,3390,NA,3,"drain end",71,"3351/3580","","","86.8","3","10.8","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","2017-6164",6164,"6164_257_12",12,1,"I","3C",3351,3580,NA,3,"",257,"","","","86.8","3","10.8","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","2017-6164",6164,"6164_460_26",26,1,"I","3C",3351,3580,NA,3,"",460,"","","","86.8","3","10.8","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","2017-6165",6165,"6165_55_9",9,0,"I","7A",3362,3539,NA,7,"drain end",55,"","","","113.2","3","19.5","I","2018-03-28_141627","RNA High sensitivity","Sample_#180328-141656","3/28/18 14:16","28.9","ng/mL","1.16","ng/uL",5,40,82.59,1247.92,"Red","Far Red",152.01,""
"194","2017-6165",6165,"6165_360_12",12,0,"I","7A",3362,3539,NA,7,"",360,"","","","113.2","3","19.5","I","2018-04-09_133705","RNA High sensitivity","Sample_#180409-133757","4/9/18 13:37","38.8","ng/mL","1.55","ng/uL",5,40,89.33,1962.33,"Red","Far Red",242.8,""
"195","2017-6165",6165,"6165_469_26",26,0,"I","7A",3362,3539,NA,7,"",469,"","","","113.2","3","19.5","I","2018-03-28_141627","RNA High sensitivity","Sample_#180328-141720","3/28/18 14:17","129","ng/mL","5.16","ng/uL",5,40,82.59,1247.92,"Red","Far Red",419.21,""
"196","2017-6165",6165,"6165_469_26",26,0,"I","7A",3362,3539,NA,7,"",469,"","","","113.2","3","19.5","I","2018-04-09_133705","RNA High sensitivity","Sample_#180409-133824","4/9/18 13:38","129","ng/mL","5.16","ng/uL",5,40,89.33,1962.33,"Red","Far Red",629.14,""
"197","2017-6166",6166,"6166_21_9",9,0,"I","8A",3378,3534,NA,8,"drain end",21,"","","","91.8","3","11.3","I","2018-04-09_133705","RNA High sensitivity","Sample_#180409-133740","4/9/18 13:37","43.1","ng/mL","1.72","ng/uL",5,40,89.33,1962.33,"Red","Far Red",261.13,""
"198","2017-6166",6166,"6166_349_12",12,0,"I","8A",3378,3534,NA,8,"",349,"","","","91.8","3","11.3","I","2018-04-09_133705","RNA High sensitivity","Sample_#180409-133806","4/9/18 13:38","139","ng/mL","5.56","ng/uL",5,40,89.33,1962.33,"Red","Far Red",672.97,""
"199","2017-6166",6166,"6166_496_26",26,0,"I","8A",3378,3534,NA,8,"",496,"","","","91.8","3","11.3","I","2018-04-25_142113","RNA High sensitivity","Sample_#180425-142134","4/25/18 14:21","147","ng/mL","5.88","ng/uL",5,40,89.38,1757.87,"Red","Far Red",639.45,""
"200","2017-6167",6167,"6167_45_9",9,0,"I","9A",3382,3481,NA,1,"drain end",45,"","","","110.7","3","12.4","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175826","4/29/18 17:58","135","ng/mL","5.4","ng/uL",5,40,89.64,1451.8,"Red","Far Red",502.53,""
"201","2017-6167",6167,"6167_207_12",12,0,"I","1C",3382,3481,NA,1,"",207,"","","","110.7","3","12.4","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175858","4/29/18 17:58","46.9","ng/mL","1.88","ng/uL",5,40,89.64,1451.8,"Red","Far Red",226.28,""
"202","2017-6167",6167,"6167_414_26",26,0,"I","1C",3382,3481,NA,1,"",414,"","","","110.7","3","12.4","I","2018-04-29_175738","RNA High sensitivity","Sample_#180429-175928","4/29/18 17:59","188","ng/mL","7.52","ng/uL",5,40,89.64,1451.8,"Red","Far Red",661.47,""
"203","2017-6168",6168,"6168_27_9",9,1,"I","8A",3385,3554,NA,7,"drain end",27,"","","","99.5","3","13.7","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","2017-6168",6168,"6168_357_12",12,1,"I","7A",3385,3554,NA,7,"",357,"","","","99.5","3","13.7","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","2017-6168",6168,"6168_466_26",26,1,"I","7A",3385,3554,NA,7,"",466,"","","","99.5","3","13.7","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","2017-6169",6169,"6169_57_9",9,1,"I","7A",3391,3550,NA,8,"drain end",57,"","","","117.2","3","16.8","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","2017-6169",6169,"6169_328_12",12,1,"I","8A",3391,3550,NA,8,"",328,"","","","117.2","3","16.8","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","2017-6169",6169,"6169_486_26",26,1,"I","8A",3391,3550,NA,8,"",486,"","","","117.2","3","16.8","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","2017-6170",6170,"6170_70_9",9,1,"I","7A",3397,3553,NA,9,"drain end",70,"","","","117.2","3","15.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","2017-6170",6170,"6170_320_12",12,1,"I","9A",3397,3553,NA,9,"",320,"","","","117.2","3","15.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","2017-6170",6170,"6170_516_26",26,1,"I","9A",3397,3553,NA,9,"",516,"","","","117.2","3","15.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","2017-6171",6171,"6171_73_9",9,0,"I","7A",3400,3464,NA,2,"drain end",73,"","","","127.4","3","19.3","I","2018-05-02_130729","RNA High sensitivity","Sample_#180502-130803","5/2/18 13:08","132","ng/mL","5.28","ng/uL",5,40,88.26,1747.03,"Red","Far Red",579.31,""
"213","2017-6171",6171,"6171_221_12",12,0,"I","2C",3400,3464,NA,2,"",221,"","","","127.4","3","19.3","I","2018-05-01_175527","RNA High sensitivity","Sample_#180501-175911","5/1/18 17:59","80.6","ng/mL","3.22","ng/uL",5,40,88.83,1727.58,"Red","Far Red",380.44,""
"214","2017-6171",6171,"6171_427_26",26,0,"I","2C",3400,3464,NA,2,"",427,"","","","127.4","3","19.3","I","2018-05-01_175527","RNA High sensitivity","Sample_#180501-175945","5/1/18 17:59","92.8","ng/mL","3.71","ng/uL",5,40,88.83,1727.58,"Red","Far Red",426.67,""
"215","2017-6172",6172,"6172_60,_9",9,0,"M","7A",3438,3457,NA,1,"drain end",NA,"","short 1 crab in tank 1C: crab 3438/3457 should have been placed in trtmnt 1C, but was returned to unsampled pool after blood draw, then later pulled out again, sampled & put in 9A.","","116.3","3","24.4","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","2017-6172",6172,"6172_316_12",12,0,"M","9A",3438,3457,NA,1,"",316,"","","","116.3","3","24.4","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","2017-6172",6172,"6172_517_26",26,0,"M","9A",3438,3457,NA,1,"",517,"","","","116.3","3","24.4","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","2017-6173",6173,"6173_63_9",9,1,"I","7A",3448,3468,NA,1,"drain end",63,"","","","95","3","14.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","2017-6173",6173,"6173_210_12",12,1,"I","1C",3448,3468,NA,1,"",210,"","","","95","3","14.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","2017-6173",6173,"6173_420_26",26,1,"I","1C",3448,3468,NA,1,"",420,"","","","95","3","14.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
