Trinity_ID,binary_sig
TRINITY_DN10203_c0_g1_i1,0
TRINITY_DN10203_c0_g1_i2,NA
TRINITY_DN10203_c0_g1_i3,NA
TRINITY_DN10204_c0_g1_i1,NA
TRINITY_DN10205_c0_g1_i1,0
TRINITY_DN10209_c0_g1_i1,NA
TRINITY_DN1021_c0_g1_i1,0
TRINITY_DN1021_c0_g1_i2,0
TRINITY_DN10210_c0_g1_i1,NA
TRINITY_DN10210_c0_g1_i2,NA
TRINITY_DN10211_c0_g1_i1,NA
TRINITY_DN10213_c0_g1_i1,NA
TRINITY_DN10216_c0_g1_i1,NA
TRINITY_DN10217_c0_g1_i1,0
TRINITY_DN10218_c0_g1_i1,NA
TRINITY_DN1022_c0_g1_i1,0
TRINITY_DN1022_c0_g1_i2,0
TRINITY_DN10221_c0_g1_i1,0
TRINITY_DN10222_c0_g1_i1,NA
TRINITY_DN10224_c0_g1_i1,0
TRINITY_DN10224_c0_g1_i2,NA
TRINITY_DN10225_c0_g1_i1,0
TRINITY_DN10227_c0_g1_i1,1
TRINITY_DN10227_c0_g1_i2,NA
TRINITY_DN10229_c0_g1_i1,NA
TRINITY_DN1023_c0_g1_i1,0
TRINITY_DN10230_c0_g1_i1,0
TRINITY_DN10230_c0_g1_i2,0
TRINITY_DN10231_c0_g1_i1,NA
TRINITY_DN10233_c0_g1_i2,0
TRINITY_DN10234_c0_g1_i2,NA
TRINITY_DN10234_c0_g1_i3,NA
TRINITY_DN10235_c0_g1_i1,NA
TRINITY_DN10237_c0_g2_i1,NA
TRINITY_DN10237_c0_g2_i2,NA
TRINITY_DN10238_c1_g1_i1,NA
TRINITY_DN1024_c0_g1_i1,0
TRINITY_DN1024_c0_g1_i4,0
TRINITY_DN10240_c1_g1_i1,NA
TRINITY_DN10241_c0_g1_i1,NA
TRINITY_DN10241_c0_g1_i2,NA
TRINITY_DN10242_c0_g1_i1,NA
TRINITY_DN10244_c0_g1_i1,NA
TRINITY_DN10245_c0_g1_i1,0
TRINITY_DN10247_c0_g1_i1,0
TRINITY_DN10247_c1_g1_i1,0
TRINITY_DN10248_c0_g1_i6,NA
TRINITY_DN10248_c0_g1_i8,NA
TRINITY_DN10249_c0_g1_i1,1
TRINITY_DN1025_c0_g1_i2,0
TRINITY_DN1025_c0_g1_i4,0
TRINITY_DN1025_c0_g1_i5,0
TRINITY_DN1025_c0_g1_i8,0
TRINITY_DN10250_c1_g1_i2,0
TRINITY_DN10251_c0_g1_i1,NA
TRINITY_DN10251_c0_g1_i2,NA
TRINITY_DN10252_c0_g1_i1,NA
TRINITY_DN10253_c0_g1_i1,NA
TRINITY_DN10256_c0_g1_i1,1
TRINITY_DN10257_c0_g1_i1,1
TRINITY_DN10258_c0_g1_i2,0
TRINITY_DN10259_c0_g1_i1,NA
TRINITY_DN1026_c0_g1_i1,0
TRINITY_DN10260_c0_g1_i1,NA
TRINITY_DN10260_c0_g1_i2,0
TRINITY_DN10261_c0_g1_i1,0
TRINITY_DN10261_c0_g1_i2,NA
TRINITY_DN10261_c0_g1_i3,NA
TRINITY_DN10262_c0_g1_i1,NA
TRINITY_DN10264_c0_g1_i1,0
TRINITY_DN10265_c0_g1_i1,NA
TRINITY_DN10265_c0_g1_i2,NA
TRINITY_DN10265_c0_g2_i1,NA
TRINITY_DN10265_c0_g3_i1,NA
TRINITY_DN10269_c0_g1_i1,NA
TRINITY_DN10269_c0_g2_i1,NA
TRINITY_DN1027_c0_g1_i1,0
TRINITY_DN1027_c0_g1_i2,0
TRINITY_DN1027_c0_g1_i4,0
TRINITY_DN1027_c0_g1_i5,0
TRINITY_DN1027_c0_g1_i6,0
TRINITY_DN10270_c0_g1_i1,NA
TRINITY_DN10271_c0_g1_i1,NA
TRINITY_DN10273_c0_g1_i1,0
TRINITY_DN10274_c0_g1_i1,1
TRINITY_DN10275_c0_g1_i1,NA
TRINITY_DN10275_c0_g1_i2,0
TRINITY_DN10277_c0_g1_i1,NA
TRINITY_DN10277_c0_g2_i1,NA
TRINITY_DN10278_c0_g1_i1,NA
TRINITY_DN10279_c0_g1_i1,NA
TRINITY_DN10279_c1_g1_i1,NA
TRINITY_DN10279_c1_g1_i2,NA
TRINITY_DN10279_c1_g1_i3,NA
TRINITY_DN10279_c1_g1_i4,NA
TRINITY_DN10279_c1_g1_i5,NA
TRINITY_DN1028_c0_g1_i1,0
TRINITY_DN1028_c0_g1_i2,NA
TRINITY_DN1028_c0_g1_i3,0
TRINITY_DN1028_c0_g1_i5,0
TRINITY_DN1028_c0_g1_i6,0
TRINITY_DN1028_c1_g1_i1,0
TRINITY_DN1028_c1_g1_i2,0
TRINITY_DN1028_c1_g1_i3,0
TRINITY_DN1028_c1_g1_i5,0
TRINITY_DN1028_c2_g1_i1,0
TRINITY_DN1028_c2_g1_i2,NA
TRINITY_DN10283_c0_g1_i2,NA
TRINITY_DN10283_c0_g1_i4,NA
TRINITY_DN10284_c0_g1_i1,0
TRINITY_DN10285_c0_g1_i1,1
